timestamp,lmp_usd_per_mwh,stress_indicator,emissions_tco2_per_mwh,it_load_mw,pue,eta_compute_per_mwh_it,carbon_shadow_price_usd_per_tco2,reliability_valuation_usd_per_compute_unit,location_based_emissions_baseline_tco2_per_mwh,option,price_multiplier,stress_severity_kappa,availability_alpha,facility_electricity_mwh,potential_compute,delivered_compute,electricity_component_usd,carbon_component_usd,reliability_component_usd,crcc_hourly_numerator_usd
2025-01-01T00:00:00Z,51.57,0,0.3087,100,1.2,1,80,10000,0.2677,Connect-and-Manage,1,0.15,1,120,100,100,6188.4,2963.5199999999995,0,9151.919999999998
2025-01-01T01:00:00Z,41.09,0,0.2872,100,1.2,1,80,10000,0.2677,Connect-and-Manage,1,0.15,1,120,100,100,4930.8,2757.12,0,7687.92
2025-01-01T02:00:00Z,49.24,0,0.3018,100,1.2,1,80,10000,0.2677,Connect-and-Manage,1,0.15,1,120,100,100,5908.8,2897.28,0,8806.08
2025-01-01T03:00:00Z,47.8,0,0.2807,100,1.2,1,80,10000,0.2677,Connect-and-Manage,1,0.15,1,120,100,100,5736,2694.72,0,8430.72
2025-01-01T04:00:00Z,28.03,0,0.2846,100,1.2,1,80,10000,0.2677,Connect-and-Manage,1,0.15,1,120,100,100,3363.6000000000004,2732.16,0,6095.76
2025-01-01T05:00:00Z,29.86,0,0.271,100,1.2,1,80,10000,0.2677,Connect-and-Manage,1,0.15,1,120,100,100,3583.2,2601.6,0,6184.799999999999
2025-01-01T06:00:00Z,36.85,0,0.2736,100,1.2,1,80,10000,0.2677,Connect-and-Manage,1,0.15,1,120,100,100,4422,2626.5600000000004,0,7048.56
2025-01-01T07:00:00Z,33.18,0,0.2641,100,1.2,1,80,10000,0.2677,Connect-and-Manage,1,0.15,1,120,100,100,3981.6,2535.36,0,6516.96
2025-01-01T08:00:00Z,34.64,0,0.2551,100,1.2,1,80,10000,0.2677,Connect-and-Manage,1,0.15,1,120,100,100,4156.8,2448.96,0,6605.76
2025-01-01T09:00:00Z,29.96,0,0.2538,100,1.2,1,80,10000,0.2677,Connect-and-Manage,1,0.15,1,120,100,100,3595.2000000000003,2436.4800000000005,0,6031.68
2025-01-01T10:00:00Z,41.36,0,0.255,100,1.2,1,80,10000,0.2677,Connect-and-Manage,1,0.15,1,120,100,100,4963.2,2448,0,7411.2
2025-01-01T11:00:00Z,42.34,0,0.2682,100,1.2,1,80,10000,0.2677,Connect-and-Manage,1,0.15,1,120,100,100,5080.8,2574.72,0,7655.52
2025-01-01T12:00:00Z,40.14,0,0.2545,100,1.2,1,80,10000,0.2677,Connect-and-Manage,1,0.15,1,120,100,100,4816.8,2443.2,0,7260
2025-01-01T13:00:00Z,48.92,0,0.2482,100,1.2,1,80,10000,0.2677,Connect-and-Manage,1,0.15,1,120,100,100,5870.4000000000005,2382.7200000000003,0,8253.12
2025-01-01T14:00:00Z,47.55,0,0.247,100,1.2,1,80,10000,0.2677,Connect-and-Manage,1,0.15,1,120,100,100,5706,2371.2,0,8077.2
2025-01-01T15:00:00Z,42.17,0,0.2451,100,1.2,1,80,10000,0.2677,Connect-and-Manage,1,0.15,1,120,100,100,5060.4000000000005,2352.96,0,7413.360000000001
2025-01-01T16:00:00Z,51.95,0,0.2785,100,1.2,1,80,10000,0.2677,Connect-and-Manage,1,0.15,1,120,100,100,6234,2673.6000000000004,0,8907.6
2025-01-01T17:00:00Z,46.06,0,0.2603,100,1.2,1,80,10000,0.2677,Connect-and-Manage,1,0.15,1,120,100,100,5527.200000000001,2498.8799999999997,0,8026.08
2025-01-01T18:00:00Z,58.67,0,0.2875,100,1.2,1,80,10000,0.2677,Connect-and-Manage,1,0.15,1,120,100,100,7040.4000000000005,2760,0,9800.400000000001
2025-01-01T19:00:00Z,54.1,0,0.2866,100,1.2,1,80,10000,0.2677,Connect-and-Manage,1,0.15,1,120,100,100,6492,2751.36,0,9243.36
2025-01-01T20:00:00Z,53.63,0,0.2878,100,1.2,1,80,10000,0.2677,Connect-and-Manage,1,0.15,1,120,100,100,6435.6,2762.88,0,9198.48
2025-01-01T21:00:00Z,50.31,0,0.2937,100,1.2,1,80,10000,0.2677,Connect-and-Manage,1,0.15,1,120,100,100,6037.200000000001,2819.5200000000004,0,8856.720000000001
2025-01-01T22:00:00Z,60.74,0,0.3005,100,1.2,1,80,10000,0.2677,Connect-and-Manage,1,0.15,1,120,100,100,7288.8,2884.7999999999997,0,10173.6
2025-01-01T23:00:00Z,50.88,0,0.2665,100,1.2,1,80,10000,0.2677,Connect-and-Manage,1,0.15,1,120,100,100,6105.6,2558.4,0,8664
2025-01-02T00:00:00Z,47.18,0,0.2884,100,1.2,1,80,10000,0.2677,Connect-and-Manage,1,0.15,1,120,100,100,5661.6,2768.64,0,8430.24
2025-01-02T01:00:00Z,45.22,0,0.294,100,1.2,1,80,10000,0.2677,Connect-and-Manage,1,0.15,1,120,100,100,5426.4,2822.4,0,8248.8
2025-01-02T02:00:00Z,47.94,0,0.3065,100,1.2,1,80,10000,0.2677,Connect-and-Manage,1,0.15,1,120,100,100,5752.799999999999,2942.4,0,8695.199999999999
2025-01-02T03:00:00Z,44.35,0,0.3021,100,1.2,1,80,10000,0.2677,Connect-and-Manage,1,0.15,1,120,100,100,5322,2900.16,0,8222.16
2025-01-02T04:00:00Z,42.22,0,0.267,100,1.2,1,80,10000,0.2677,Connect-and-Manage,1,0.15,1,120,100,100,5066.4,2563.2,0,7629.5999999999995
2025-01-02T05:00:00Z,40.26,0,0.2721,100,1.2,1,80,10000,0.2677,Connect-and-Manage,1,0.15,1,120,100,100,4831.2,2612.16,0,7443.36
2025-01-02T06:00:00Z,48.94,0,0.2622,100,1.2,1,80,10000,0.2677,Connect-and-Manage,1,0.15,1,120,100,100,5872.799999999999,2517.12,0,8389.919999999998
2025-01-02T07:00:00Z,32.65,0,0.2777,100,1.2,1,80,10000,0.2677,Connect-and-Manage,1,0.15,1,120,100,100,3918,2665.92,0,6583.92
2025-01-02T08:00:00Z,31.67,0,0.2684,100,1.2,1,80,10000,0.2677,Connect-and-Manage,1,0.15,1,120,100,100,3800.4,2576.6400000000003,0,6377.040000000001
2025-01-02T09:00:00Z,30.21,0,0.2576,100,1.2,1,80,10000,0.2677,Connect-and-Manage,1,0.15,1,120,100,100,3625.2000000000003,2472.96,0,6098.16
2025-01-02T10:00:00Z,39.78,0,0.2601,100,1.2,1,80,10000,0.2677,Connect-and-Manage,1,0.15,1,120,100,100,4773.6,2496.96,0,7270.56
2025-01-02T11:00:00Z,44.45,0,0.274,100,1.2,1,80,10000,0.2677,Connect-and-Manage,1,0.15,1,120,100,100,5334,2630.4,0,7964.4
2025-01-02T12:00:00Z,39.06,0,0.268,100,1.2,1,80,10000,0.2677,Connect-and-Manage,1,0.15,1,120,100,100,4687.200000000001,2572.8,0,7260.000000000001
2025-01-02T13:00:00Z,37.12,0,0.2666,100,1.2,1,80,10000,0.2677,Connect-and-Manage,1,0.15,1,120,100,100,4454.4,2559.36,0,7013.76
2025-01-02T14:00:00Z,39.8,0,0.263,100,1.2,1,80,10000,0.2677,Connect-and-Manage,1,0.15,1,120,100,100,4776,2524.7999999999997,0,7300.799999999999
2025-01-02T15:00:00Z,51.24,0,0.2653,100,1.2,1,80,10000,0.2677,Connect-and-Manage,1,0.15,1,120,100,100,6148.8,2546.8799999999997,0,8695.68
2025-01-02T16:00:00Z,54.21,0,0.2817,100,1.2,1,80,10000,0.2677,Connect-and-Manage,1,0.15,1,120,100,100,6505.2,2704.32,0,9209.52
2025-01-02T17:00:00Z,55.08,0,0.2864,100,1.2,1,80,10000,0.2677,Connect-and-Manage,1,0.15,1,120,100,100,6609.5999999999995,2749.44,0,9359.039999999999
2025-01-02T18:00:00Z,49.42,0,0.2763,100,1.2,1,80,10000,0.2677,Connect-and-Manage,1,0.15,1,120,100,100,5930.4000000000005,2652.48,0,8582.880000000001
2025-01-02T19:00:00Z,55.8,0,0.283,100,1.2,1,80,10000,0.2677,Connect-and-Manage,1,0.15,1,120,100,100,6696,2716.7999999999997,0,9412.8
2025-01-02T20:00:00Z,55.45,0,0.3012,100,1.2,1,80,10000,0.2677,Connect-and-Manage,1,0.15,1,120,100,100,6654,2891.5200000000004,0,9545.52
2025-01-02T21:00:00Z,55.72,0,0.3098,100,1.2,1,80,10000,0.2677,Connect-and-Manage,1,0.15,1,120,100,100,6686.4,2974.0800000000004,0,9660.48
2025-01-02T22:00:00Z,58.64,0,0.2901,100,1.2,1,80,10000,0.2677,Connect-and-Manage,1,0.15,1,120,100,100,7036.8,2784.96,0,9821.76
2025-01-02T23:00:00Z,53.16,0,0.2926,100,1.2,1,80,10000,0.2677,Connect-and-Manage,1,0.15,1,120,100,100,6379.2,2808.96,0,9188.16
2025-01-03T00:00:00Z,53.83,0,0.2999,100,1.2,1,80,10000,0.2677,Connect-and-Manage,1,0.15,1,120,100,100,6459.5999999999995,2879.04,0,9338.64
2025-01-03T01:00:00Z,47.75,0,0.2964,100,1.2,1,80,10000,0.2677,Connect-and-Manage,1,0.15,1,120,100,100,5730,2845.44,0,8575.44
2025-01-03T02:00:00Z,46.49,0,0.284,100,1.2,1,80,10000,0.2677,Connect-and-Manage,1,0.15,1,120,100,100,5578.8,2726.3999999999996,0,8305.2
2025-01-03T03:00:00Z,45.96,0,0.3053,100,1.2,1,80,10000,0.2677,Connect-and-Manage,1,0.15,1,120,100,100,5515.2,2930.88,0,8446.08
2025-01-03T04:00:00Z,31.01,0,0.2771,100,1.2,1,80,10000,0.2677,Connect-and-Manage,1,0.15,1,120,100,100,3721.2000000000003,2660.16,0,6381.360000000001
2025-01-03T05:00:00Z,35.77,0,0.2779,100,1.2,1,80,10000,0.2677,Connect-and-Manage,1,0.15,1,120,100,100,4292.4000000000005,2667.84,0,6960.240000000001
2025-01-03T06:00:00Z,33.27,0,0.2845,100,1.2,1,80,10000,0.2677,Connect-and-Manage,1,0.15,1,120,100,100,3992.4000000000005,2731.2,0,6723.6
