timestamp,lmp_usd_per_mwh,stress_indicator,emissions_tco2_per_mwh,it_load_mw,pue,eta_compute_per_mwh_it,carbon_shadow_price_usd_per_tco2,reliability_valuation_usd_per_compute_unit,location_based_emissions_baseline_tco2_per_mwh,option,option_label,price_multiplier,carbon_exposure_multiplier,stress_severity_kappa,facility_electricity_mwh,potential_compute,availability_alpha,delivered_compute,effective_emissions_tco2_per_mwh,electricity_component_usd,carbon_component_usd,reliability_component_usd,crcc_hourly_numerator_usd
2025-01-01T00:00:00Z,51.57,0,0.3087,100,1.2,1,80,10000,0.2677,Connect-and-Manage,Connect-and-Manage,1,1,0.15,120,100,1,100,0.3087,6188.4,2963.5199999999995,0,9151.919999999998
2025-01-01T01:00:00Z,41.09,0,0.2872,100,1.2,1,80,10000,0.2677,Connect-and-Manage,Connect-and-Manage,1,1,0.15,120,100,1,100,0.2872,4930.8,2757.12,0,7687.92
2025-01-01T02:00:00Z,49.24,0,0.3018,100,1.2,1,80,10000,0.2677,Connect-and-Manage,Connect-and-Manage,1,1,0.15,120,100,1,100,0.3018,5908.8,2897.28,0,8806.08
2025-01-01T03:00:00Z,47.8,0,0.2807,100,1.2,1,80,10000,0.2677,Connect-and-Manage,Connect-and-Manage,1,1,0.15,120,100,1,100,0.2807,5736,2694.72,0,8430.72
2025-01-01T04:00:00Z,28.03,0,0.2846,100,1.2,1,80,10000,0.2677,Connect-and-Manage,Connect-and-Manage,1,1,0.15,120,100,1,100,0.2846,3363.6000000000004,2732.16,0,6095.76
2025-01-01T05:00:00Z,29.86,0,0.271,100,1.2,1,80,10000,0.2677,Connect-and-Manage,Connect-and-Manage,1,1,0.15,120,100,1,100,0.271,3583.2,2601.6,0,6184.799999999999
2025-01-01T06:00:00Z,36.85,0,0.2736,100,1.2,1,80,10000,0.2677,Connect-and-Manage,Connect-and-Manage,1,1,0.15,120,100,1,100,0.2736,4422,2626.5600000000004,0,7048.56
2025-01-01T07:00:00Z,33.18,0,0.2641,100,1.2,1,80,10000,0.2677,Connect-and-Manage,Connect-and-Manage,1,1,0.15,120,100,1,100,0.2641,3981.6,2535.36,0,6516.96
2025-01-01T08:00:00Z,34.64,0,0.2551,100,1.2,1,80,10000,0.2677,Connect-and-Manage,Connect-and-Manage,1,1,0.15,120,100,1,100,0.2551,4156.8,2448.96,0,6605.76
2025-01-01T09:00:00Z,29.96,0,0.2538,100,1.2,1,80,10000,0.2677,Connect-and-Manage,Connect-and-Manage,1,1,0.15,120,100,1,100,0.2538,3595.2000000000003,2436.4800000000005,0,6031.68
2025-01-01T10:00:00Z,41.36,0,0.255,100,1.2,1,80,10000,0.2677,Connect-and-Manage,Connect-and-Manage,1,1,0.15,120,100,1,100,0.255,4963.2,2448,0,7411.2
2025-01-01T11:00:00Z,42.34,0,0.2682,100,1.2,1,80,10000,0.2677,Connect-and-Manage,Connect-and-Manage,1,1,0.15,120,100,1,100,0.2682,5080.8,2574.72,0,7655.52
2025-01-01T12:00:00Z,40.14,0,0.2545,100,1.2,1,80,10000,0.2677,Connect-and-Manage,Connect-and-Manage,1,1,0.15,120,100,1,100,0.2545,4816.8,2443.2,0,7260
2025-01-01T13:00:00Z,48.92,0,0.2482,100,1.2,1,80,10000,0.2677,Connect-and-Manage,Connect-and-Manage,1,1,0.15,120,100,1,100,0.2482,5870.4000000000005,2382.7200000000003,0,8253.12
2025-01-01T14:00:00Z,47.55,0,0.247,100,1.2,1,80,10000,0.2677,Connect-and-Manage,Connect-and-Manage,1,1,0.15,120,100,1,100,0.247,5706,2371.2,0,8077.2
2025-01-01T15:00:00Z,42.17,0,0.2451,100,1.2,1,80,10000,0.2677,Connect-and-Manage,Connect-and-Manage,1,1,0.15,120,100,1,100,0.2451,5060.4000000000005,2352.96,0,7413.360000000001
2025-01-01T16:00:00Z,51.95,0,0.2785,100,1.2,1,80,10000,0.2677,Connect-and-Manage,Connect-and-Manage,1,1,0.15,120,100,1,100,0.2785,6234,2673.6000000000004,0,8907.6
2025-01-01T17:00:00Z,46.06,0,0.2603,100,1.2,1,80,10000,0.2677,Connect-and-Manage,Connect-and-Manage,1,1,0.15,120,100,1,100,0.2603,5527.200000000001,2498.8799999999997,0,8026.08
2025-01-01T18:00:00Z,58.67,0,0.2875,100,1.2,1,80,10000,0.2677,Connect-and-Manage,Connect-and-Manage,1,1,0.15,120,100,1,100,0.2875,7040.4000000000005,2760,0,9800.400000000001
